V1;V2;V3;V4;V5;V6;V7;V8
Tijdstempel;Bent u op dit moment student?;Wat is uw geslacht?;Denkt u dat de route binnen de IKEA invloed heeft op uw koopgedrag?;Loopt u altijd de volledige route in de IKEA?;Wat is uw reden voor een bezoek aan de IKEA?(meerdere antwoorden mogelijk);Hoeveel onvoorziene uitgave denkt u te hebben(in euro's)?;Hoe lang bent u gemiddeld in de IKEA?(in uren)
2017/12/05 9:09:21 a.m. CET;Ja;Man;NEE;Nee;Iets nodig;0-10;1-2
2017/12/05 9:10:12 a.m. CET;Ja;Man;NEE;Nee;Iets nodig;10-30;1-2
2017/12/05 9:10:27 a.m. CET;Ja;Man;NEE;Nee;Iets nodig;10-30;3-4
2017/12/05 9:11:49 a.m. CET;Ja;Vrouw;JA;Ja;Iets nodig;10-30;1-2
2017/12/05 9:12:38 a.m. CET;Ja;Vrouw;JA;Ja;"Iets nodig;Dagje uit;Hapje eten;anders";10-30;2-3
2017/12/05 9:14:17 a.m. CET;Ja;Vrouw;JA;Ja;Iets nodig;10-30;4 of meer
2017/12/05 9:15:13 a.m. CET;Nee;Man;JA;Nee;Iets nodig;50-100;2-3
2017/12/05 9:21:52 a.m. CET;Ja;Vrouw;JA;Ja;"Iets nodig;Dagje uit";10-30;2-3
2017/12/05 9:22:51 a.m. CET;Ja;Vrouw;JA;Ja;Iets nodig;10-30;1-2
2017/12/05 9:23:20 a.m. CET;Ja;Man;JA;Nee;Iets nodig;30-50;1-2
2017/12/05 9:23:42 a.m. CET;Ja;Vrouw;JA;Ja;Iets nodig;50-100;1-2
2017/12/05 9:24:25 a.m. CET;Ja;Man;NEE;Nee;Iets nodig;0-10;1-2
2017/12/05 9:25:11 a.m. CET;Ja;Man;NEE;Nee;Hapje eten;10-30; 
2017/12/05 9:25:45 a.m. CET;Ja;Man;NEE;Ja;Iets nodig;30-50;2-3
2017/12/05 9:26:24 a.m. CET;Ja;Vrouw;JA;Ja;Iets nodig;50-100;3-4
2017/12/05 9:26:54 a.m. CET;Ja;Vrouw;JA;Ja;Iets nodig;0-10;2-3
2017/12/05 9:28:01 a.m. CET;Ja;Vrouw;JA;Ja;"Iets nodig;Dagje uit";50-100;4 of meer
2017/12/05 9:28:55 a.m. CET;Ja;Vrouw;JA;Ja;Iets nodig;10-30;1-2
2017/12/05 9:29:26 a.m. CET;Ja;Vrouw;JA;Ja;Iets nodig;10-30;1-2
2017/12/05 9:29:51 a.m. CET;Ja;Vrouw;JA;Ja;Iets nodig;10-30;1-2
2017/12/05 9:30:19 a.m. CET;Ja;Man;JA;Ja;Iets nodig;10-30;1-2
2017/12/05 9:30:34 a.m. CET;Ja;Man;NEE;Ja;Iets nodig;10-30;1-2
2017/12/05 9:30:48 a.m. CET;Ja;Man;NEE;Ja;Iets nodig;10-30;1-2
2017/12/05 9:31:08 a.m. CET;Ja;Man;JA;Ja;Iets nodig;10-30;1-2
2017/12/05 9:31:39 a.m. CET;Ja;Vrouw;JA;Ja;Iets nodig;10-30;1-2
2017/12/05 9:32:06 a.m. CET;Ja;Vrouw;JA;Ja;Iets nodig;10-30;1-2
2017/12/05 9:32:16 a.m. CET;Ja;Vrouw;JA;Ja;Iets nodig;10-30;1-2
2017/12/05 9:32:29 a.m. CET;Ja;Vrouw;JA;Ja;Iets nodig;10-30;1-2
2017/12/05 9:32:29 a.m. CET;Ja;Man;JA;Ja;Iets nodig;10-30;1-2
2017/12/05 9:32:43 a.m. CET;Ja;Man;JA;Ja;Iets nodig;10-30;1-2
2017/12/05 9:32:50 a.m. CET;Ja;Vrouw;NEE;Ja;Iets nodig;0-10;0-1
2017/12/05 9:33:09 a.m. CET;Ja;Man;JA;Nee;Iets nodig;10-30;1-2
2017/12/05 9:33:53 a.m. CET;Ja;Vrouw;JA;Ja;Dagje uit;10-30;1-2
2017/12/05 9:34:04 a.m. CET;Ja;Man;JA;Ja;Iets nodig;10-30;1-2
2017/12/05 9:35:41 a.m. CET;Ja;Man;NEE;Nee;"Iets nodig;Dagje uit;Hapje eten;anders";0-10;1-2
2017/12/05 9:36:46 a.m. CET;Ja;Man;JA;Ja;Iets nodig;50-100;0-1
2017/12/05 9:36:52 a.m. CET;Ja;Vrouw;NEE;Nee;"Iets nodig;Hapje eten";0-10;0-1
2017/12/05 9:37:15 a.m. CET;Ja;Man;JA;Nee;"Iets nodig;Dagje uit";30-50;1-2
2017/12/05 9:37:51 a.m. CET;Ja;Vrouw;JA;Nee;Iets nodig;0-10;3-4
2017/12/05 9:38:16 a.m. CET;Ja;Man;JA;Nee;Iets nodig;50-100;2-3
2017/12/05 9:38:19 a.m. CET;Ja;Vrouw;JA;Nee;Iets nodig;0-10;2-3
2017/12/05 9:39:08 a.m. CET;Ja;Man;JA;Nee;Hapje eten;50-100;1-2
2017/12/05 9:39:21 a.m. CET;Ja;Vrouw;JA;Nee;"Iets nodig;Hapje eten";30-50;0-1
2017/12/05 9:40:19 a.m. CET;Ja;Vrouw;JA;Nee;Iets nodig;0-10;2-3
2017/12/05 9:40:19 a.m. CET;Ja;Man;JA;Nee;"Iets nodig;Hapje eten";50-100;2-3
2017/12/05 9:41:05 a.m. CET;Ja;Man;JA;Nee;Iets nodig;50-100;3-4
2017/12/05 9:41:53 a.m. CET;Ja;Man;JA;Nee;Iets nodig;10-30;1-2
2017/12/05 9:42:12 a.m. CET;Ja;Vrouw;JA;Nee;Iets nodig;10-30;2-3
2017/12/05 9:42:18 a.m. CET;Ja;Vrouw;JA;Nee;Iets nodig;10-30;1-2
2017/12/05 9:43:06 a.m. CET;Ja;Vrouw;JA;Nee;Iets nodig;10-30;1-2
2017/12/05 9:43:32 a.m. CET;Ja;Man;JA;Nee;Iets nodig;10-30;1-2
2017/12/05 9:43:48 a.m. CET;Ja;Man;JA;Nee;Iets nodig;30-50;1-2
2017/12/05 9:43:49 a.m. CET;Ja;Man;JA;Nee;Iets nodig;30-50;1-2
2017/12/05 9:44:04 a.m. CET;Ja;Vrouw;JA;Nee;Iets nodig;30-50;1-2
2017/12/05 9:44:24 a.m. CET;Ja;Vrouw;JA;Nee;Iets nodig;30-50;2-3
